task,worker,answer
0,1,4
0,2,4
0,3,4
1,1,2
1,2,1
2,1,3
2,2,2
2,3,2
3,3,4
3,4,4
3,5,4
4,3,4
4,4,4
4,5,4
5,3,4
5,4,4
5,5,4
6,5,3
7,1,5
7,3,5
8,1,4
8,3,4
9,4,1
9,6,3
10,4,0
10,6,0
11,4,4
11,6,4
12,7,4
12,4,4
12,5,4
12,8,4
13,9,0
13,4,0
14,9,0
14,4,0
15,1,2
16,1,2
17,1,3
18,1,1
18,3,1
19,1,3
19,3,2
19,4,2
19,10,2
20,1,2
20,3,1
20,4,3
20,10,3
21,9,0
21,11,0
22,9,0
22,11,0
23,11,3
24,9,1
25,9,0
26,3,5
27,9,2
27,4,1
27,8,2
27,12,3
28,2,2
28,4,1
29,1,2
29,3,2
29,9,2
30,1,2
30,3,2
30,9,1
31,4,5
31,6,5
31,13,5
31,14,5
32,4,2
32,6,3
32,13,2
32,14,2
33,1,3
33,3,2
33,5,2
34,1,2
34,3,3
34,6,2
34,5,2
35,5,2
35,15,4
35,12,2
36,3,0
36,5,0
36,15,2
36,12,0
37,3,4
37,5,4
38,3,1
38,9,1
38,5,1
39,1,0
39,3,0
39,9,3
39,5,0
40,9,1
41,9,0
42,3,4
43,3,0
44,1,3
44,9,3
45,3,1
45,4,3
46,7,2
47,7,3
48,7,1
48,4,3
48,16,2
49,3,1
49,9,3
49,4,3
49,17,2
49,14,2
50,3,4
50,9,4
50,4,4
50,17,4
50,14,4
51,3,4
51,4,4
51,17,4
51,14,4
52,14,2
53,3,4
53,12,2
53,16,4
54,4,0
54,5,0
54,18,0
55,4,4
55,5,4
55,18,4
56,8,5
57,3,0
57,9,0
57,19,0
58,3,3
58,9,2
58,19,1
59,3,0
59,19,4
60,3,1
60,4,1
60,12,3
61,3,5
61,9,5
62,3,5
63,1,4
63,13,4
63,8,4
64,1,2
65,1,2
65,3,2
65,9,2
66,1,2
66,3,2
67,9,4
67,17,4
68,9,2
68,17,2
69,9,5
69,17,4
70,1,0
70,7,0
71,9,0
71,4,0
72,4,3
73,1,3
73,3,2
73,7,2
74,1,1
74,3,2
74,7,3
75,1,2
75,3,3
75,7,2
76,1,3
76,3,1
76,4,1
76,17,3
77,1,3
77,3,2
77,4,3
77,17,3
78,1,2
78,3,2
78,9,3
78,20,2
79,1,4
79,3,4
80,3,5
80,4,5
80,5,5
81,3,3
81,4,3
81,5,2
82,1,5
82,3,5
82,5,5
83,1,0
83,3,0
83,5,0
84,1,5
84,3,5
84,5,5
85,1,3
85,21,1
86,21,2
87,7,3
87,12,1
88,1,2
88,9,2
88,7,2
88,4,2
88,5,2
89,3,1
89,9,1
89,17,1
90,3,3
90,4,1
91,3,0
91,4,0
91,6,0
91,14,0
92,3,0
92,4,0
92,6,0
92,14,0
92,18,0
93,3,1
93,4,3
93,6,1
93,18,1
94,1,4
94,3,4
94,9,4
94,5,4
94,8,4
95,1,4
95,3,4
95,9,1
95,5,4
95,8,4
96,18,0
97,18,2
98,18,2
99,7,5
100,7,2
101,3,2
102,1,3
102,6,2
103,1,0
103,6,0
104,1,0
104,7,3
104,6,0
104,22,0
105,1,4
105,7,4
105,6,4
105,22,5
106,3,2
106,4,3
106,5,2
106,15,2
106,18,2
106,21,2
107,3,2
107,4,3
107,5,1
107,15,1
107,18,1
108,1,4
108,7,4
109,1,5
109,2,5
109,18,0
110,1,2
110,2,2
110,18,2
111,7,0
112,7,4
113,9,0
113,7,0
113,23,0
114,9,3
114,7,3
114,23,2
115,1,2
115,13,2
115,15,5
116,1,5
116,13,5
116,15,2
117,4,1
117,6,1
118,9,3
119,1,0
119,9,0
120,1,2
120,9,1
121,1,2
121,9,4
122,3,5
122,4,5
123,4,0
123,18,0
124,4,4
124,18,4
125,4,1
125,18,0
126,1,0
126,3,0
126,4,0
126,6,0
126,13,0
126,18,0
127,1,0
127,3,0
127,4,0
127,6,0
127,13,0
128,1,3
128,3,3
128,4,3
128,6,2
128,13,3
128,18,3
129,7,4
130,1,5
130,3,5
130,4,5
131,9,1
131,4,1
131,18,1
132,1,4
132,3,4
132,9,4
133,1,2
133,3,2
133,9,3
134,1,0
134,3,0
135,1,2
135,13,2
135,24,2
136,2,5
136,25,5
137,2,2
137,25,2
138,1,5
138,3,5
138,9,5
139,1,0
139,9,0
140,3,2
140,26,4
140,14,3
140,22,2
141,4,5
141,26,5
142,4,3
142,26,3
143,1,3
143,4,1
144,1,3
144,4,1
145,1,2
145,4,3
146,1,2
146,3,2
147,1,4
147,3,4
148,3,0
148,9,0
148,5,0
148,23,0
149,1,0
149,5,0
149,13,1
149,14,0
149,18,0
150,3,1
150,5,1
150,15,5
151,3,0
151,5,1
152,1,5
152,3,5
152,5,5
153,1,5
153,18,5
154,2,1
154,9,1
154,4,1
155,1,0
155,2,0
155,9,0
155,4,0
156,1,2
156,2,2
156,9,4
156,4,3
157,3,1
157,9,1
157,4,1
158,3,3
158,7,2
159,3,1
159,7,2
160,1,0
160,13,0
161,1,4
161,13,4
162,1,0
162,3,0
162,4,0
163,1,5
163,7,5
164,6,5
165,6,2
166,6,5
167,16,2
168,16,0
169,9,4
170,1,0
170,5,0
171,1,2
171,5,1
172,7,3
172,27,2
173,1,5
174,1,3
175,1,5
175,4,5
175,23,5
175,12,5
176,1,3
176,4,3
176,23,3
176,12,1
177,1,5
177,4,5
178,3,5
178,4,5
179,1,0
179,2,0
179,3,0
179,4,0
179,5,0
180,1,0
180,4,0
180,14,0
181,1,2
181,4,2
181,14,3
182,1,3
182,4,2
182,16,2
182,28,2
183,1,5
183,4,5
183,16,5
183,28,5
184,3,1
184,9,1
185,3,5
185,9,5
185,13,5
186,3,2
187,3,0
188,3,4
189,9,1
189,7,1
189,8,4
190,9,5
190,7,5
190,8,5
191,9,0
191,7,4
191,8,4
192,3,1
192,5,1
192,12,1
192,18,1
193,3,4
193,29,4
194,3,5
194,27,5
194,15,5
194,14,5
195,3,1
195,27,2
195,15,5
195,14,2
196,7,4
196,4,4
196,30,3
196,31,1
197,4,4
197,12,4
198,3,1
198,32,3
198,12,1
199,3,2
199,9,3
199,4,2
199,23,3
200,1,4
200,3,4
200,6,4
200,33,4
201,1,4
201,3,4
201,6,4
201,33,4
202,1,3
202,3,2
202,6,2
202,33,2
203,3,1
203,4,1
204,3,2
204,4,2
204,5,2
205,3,4
205,4,4
205,5,4
206,1,3
206,9,1
206,5,1
207,1,0
207,7,0
207,5,0
208,9,4
208,4,4
208,6,4
