task,worker,answer
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
1,7,1
1,4,1
1,8,1
1,6,1
1,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
3,15,1
3,1,1
3,16,1
3,8,1
3,17,1
4,10,1
4,18,1
4,12,1
4,13,1
4,19,1
5,20,1
5,8,1
5,13,1
5,14,1
5,21,1
6,2,1
6,5,1
6,22,1
6,14,1
6,9,1
7,12,1
7,23,1
7,22,1
7,24,1
7,14,1
8,2,1
8,3,1
8,8,1
8,6,1
8,25,1
9,2,1
9,4,1
9,26,1
9,27,1
9,12,1
10,1,1
10,2,1
10,20,1
10,23,1
10,13,1
11,2,1
11,4,1
11,8,1
11,14,1
11,28,1
12,2,0
12,29,0
12,13,0
12,5,0
12,30,0
13,10,1
13,15,1
13,2,1
13,8,1
13,5,1
14,15,1
14,3,1
14,17,1
14,13,1
14,25,1
15,18,1
15,11,1
15,13,1
15,25,1
15,21,1
16,18,1
16,11,1
16,20,1
16,12,1
16,13,1
17,2,1
17,7,1
17,8,1
17,6,1
17,9,1
18,2,1
18,16,1
18,12,1
18,6,1
18,31,1
19,10,1
19,2,1
19,16,1
19,23,1
19,17,1
20,7,1
20,26,1
20,27,1
20,23,1
20,5,1
21,2,1
21,4,1
21,29,1
21,20,1
21,13,1
22,3,1
22,16,1
22,4,1
22,29,1
22,5,1
23,10,1
23,12,1
23,5,1
23,6,1
23,28,1
24,3,1
24,16,1
24,8,0
24,17,1
24,5,0
25,7,1
25,4,1
25,8,1
25,6,1
25,31,1
26,10,1
26,2,1
26,12,1
26,6,1
26,32,1
27,11,1
27,20,1
27,8,1
27,13,1
27,21,1
28,16,1
28,4,1
28,17,1
28,24,1
28,6,1
29,1,0
29,11,0
29,4,0
29,13,0
29,33,0
30,1,1
30,2,1
30,29,1
30,6,1
30,9,1
31,1,0
31,2,1
31,13,0
31,14,1
31,34,0
32,4,1
32,17,1
32,33,1
32,24,1
32,6,1
33,2,1
33,4,1
33,26,1
33,8,1
33,5,1
34,10,0
34,2,1
34,4,0
34,12,0
34,22,0
35,1,0
35,11,1
35,13,0
35,22,0
35,28,0
36,2,1
36,16,1
36,29,1
36,17,1
36,5,1
37,10,1
37,18,1
37,2,1
37,6,1
37,28,1
38,18,1
38,8,1
38,6,1
38,35,1
38,30,1
39,3,1
39,4,1
39,8,1
39,22,1
39,9,1
40,3,1
40,16,1
40,4,1
40,6,1
40,30,1
41,2,1
41,16,1
41,13,1
41,5,1
41,28,1
42,2,1
42,7,1
42,4,1
42,29,1
42,6,1
43,16,0
43,4,0
43,8,0
43,6,0
43,25,0
44,10,1
44,3,1
44,16,1
44,4,1
44,8,1
45,2,0
45,4,1
45,20,1
45,6,1
45,31,1
46,10,1
46,4,1
46,23,1
46,17,1
46,5,1
47,2,1
47,16,1
47,8,1
47,31,1
47,9,1
48,2,1
48,29,1
48,8,1
48,23,1
48,9,1
49,36,1
49,20,1
49,12,1
49,13,1
49,33,1
50,12,1
50,33,1
50,6,1
50,25,1
50,37,1
51,36,1
51,11,1
51,38,1
51,12,1
51,22,1
52,16,1
52,4,1
52,29,1
52,28,1
52,19,1
53,1,1
53,11,1
53,7,1
53,33,1
53,35,1
54,2,0
54,12,0
54,33,0
54,39,0
54,28,0
55,10,1
55,8,1
55,5,1
55,6,1
55,19,1
56,10,1
56,2,1
56,16,1
56,7,1
56,25,1
57,18,1
57,12,1
57,8,1
57,13,1
57,34,1
58,18,1
58,1,1
58,2,1
58,40,1
58,11,1
59,1,0
59,40,0
59,11,0
59,13,0
59,24,0
60,2,1
60,3,1
60,5,1
60,6,1
60,25,1
61,3,1
61,5,1
61,22,1
61,6,1
61,19,1
62,4,1
62,12,1
62,13,1
62,33,1
62,30,1
63,11,1
63,29,1
63,17,1
63,13,1
63,6,1
64,40,1
64,3,0
64,6,1
64,35,0
64,21,0
65,15,1
65,11,1
65,6,1
65,31,1
65,35,1
66,16,0
66,22,0
66,28,0
66,19,0
66,41,0
67,1,1
67,4,1
67,12,1
67,5,1
67,6,1
68,7,1
68,12,1
68,5,1
68,24,1
68,19,1
69,10,1
69,4,1
69,5,1
69,6,1
69,37,1
70,1,1
70,11,1
70,12,1
70,8,1
70,5,1
71,15,1
71,18,1
71,1,1
71,40,1
71,11,1
72,26,2
72,8,1
72,6,1
72,28,1
72,19,1
73,2,1
73,11,1
73,3,1
73,7,1
73,42,1
74,16,1
74,4,1
74,17,1
74,5,1
74,35,1
75,2,1
75,3,1
75,17,1
75,9,1
75,21,1
76,10,1
76,2,1
76,8,1
76,6,1
76,31,1
77,3,0
77,5,0
77,22,0
77,28,0
77,19,0
78,1,1
78,4,1
78,26,1
78,13,1
78,5,1
79,36,1
79,2,1
79,17,1
79,6,1
79,21,1
80,2,1
80,4,1
80,29,1
80,8,1
80,17,1
81,1,1
81,2,1
81,11,1
81,13,1
81,25,1
82,3,0
82,4,1
82,5,0
82,9,1
82,39,1
83,10,1
83,8,1
83,22,1
83,6,1
83,14,1
84,2,1
84,20,1
84,5,1
84,34,1
84,21,1
85,10,1
85,15,1
85,18,1
85,11,1
85,31,1
86,15,1
86,11,1
86,3,1
86,22,1
86,14,1
87,15,1
87,2,1
87,13,1
87,5,1
87,6,1
88,1,1
88,2,1
88,20,1
88,39,1
88,28,1
89,2,1
89,29,1
89,8,1
89,31,1
89,9,1
90,18,1
90,1,1
90,12,1
90,22,1
90,35,1
91,16,0
91,4,0
91,29,0
91,9,0
91,35,1
92,1,1
92,20,1
92,31,1
92,35,1
92,30,1
93,2,1
93,29,1
93,8,1
93,9,1
93,39,1
94,1,1
94,2,1
94,3,1
94,13,1
94,5,1
95,7,1
95,29,1
95,26,1
95,6,1
95,9,1
95,28,1
96,10,1
96,23,1
96,17,1
96,25,1
96,19,1
97,15,0
97,20,1
97,13,0
97,33,1
97,30,0
98,2,1
98,4,1
98,29,1
98,5,1
98,31,1
99,1,1
99,4,1
99,23,1
99,6,1
99,9,1
100,36,1
100,2,1
100,4,1
100,42,1
100,35,1
101,10,1
101,8,1
101,23,1
101,5,1
101,25,1
102,15,1
102,16,1
102,13,1
102,22,1
102,6,1
103,18,1
103,2,1
103,4,1
103,12,1
103,22,1
103,39,1
104,2,1
104,3,1
104,29,1
104,9,1
104,39,1
105,18,1
105,36,1
105,13,1
105,22,1
105,24,1
106,36,1
106,11,1
106,20,1
106,13,1
106,22,1
107,7,1
107,29,1
107,23,1
107,22,1
107,30,1
107,28,1
108,2,1
108,4,1
108,42,1
108,12,1
108,39,1
109,18,1
109,11,1
109,12,1
109,22,1
109,19,1
110,1,1
110,12,1
110,5,1
110,22,1
110,6,1
111,3,1
111,7,1
111,4,1
111,29,1
111,17,1
112,2,1
112,3,1
112,27,1
112,33,1
112,28,1
113,15,1
113,36,1
113,11,1
113,20,1
113,13,1
114,2,1
114,40,1
114,8,1
114,33,1
114,6,1
114,14,1
115,2,1
115,40,1
115,14,1
115,34,1
115,25,1
116,12,1
116,13,1
116,5,1
116,33,1
116,30,1
117,15,1
117,18,1
117,33,1
117,6,1
117,30,1
118,2,1
118,16,1
118,29,1
118,6,1
118,25,1
119,1,1
119,29,1
119,17,1
119,5,1
119,31,1
120,3,1
120,16,1
120,7,1
120,4,1
120,42,1
121,40,1
121,16,1
121,17,1
121,6,1
121,25,1
122,16,1
122,4,1
122,8,1
122,21,1
122,19,1
123,1,1
123,12,1
123,5,1
123,31,1
123,25,1
124,2,1
124,29,1
124,26,1
124,38,1
124,27,1
125,1,1
125,2,1
125,8,1
125,23,1
125,9,1
126,2,1
126,20,1
126,12,1
126,13,1
126,34,1
127,40,1
127,11,1
127,20,1
127,13,1
127,6,1
128,2,1
128,8,1
128,23,1
128,14,1
128,9,1
129,2,1
129,7,1
129,4,1
129,6,1
129,14,1
130,1,0
130,2,0
130,22,0
130,30,0
130,28,0
131,10,1
131,4,1
131,5,1
131,25,1
131,28,1
132,2,1
132,4,1
132,29,1
132,17,1
132,25,1
133,4,1
133,8,1
133,6,1
133,31,1
133,19,1
134,7,1
134,8,1
134,23,1
134,6,1
134,35,1
135,18,1
135,11,1
135,8,1
135,13,1
135,6,1
136,2,1
136,16,1
136,4,1
136,12,1
136,6,1
137,15,1
137,18,0
137,36,1
137,2,1
137,4,1
138,10,1
138,11,1
138,8,1
138,13,1
138,19,1
139,16,1
139,4,1
139,23,1
139,39,1
139,28,1
140,16,1
140,5,1
140,22,1
140,9,0
140,25,0
141,10,1
141,4,1
141,23,1
141,24,1
141,31,1
141,9,1
142,11,1
142,29,1
142,13,1
142,6,1
142,35,1
143,26,1
143,23,1
143,17,1
143,5,1
143,24,1
144,2,1
144,3,1
144,16,1
144,5,1
144,6,1
145,36,1
145,20,1
145,12,1
145,32,1
145,34,1
146,1,1
146,2,1
146,29,1
146,6,1
146,28,1
147,2,1
147,4,1
147,29,1
147,5,1
147,9,1
148,16,1
148,8,1
148,5,1
148,6,1
148,21,1
149,11,0
149,20,1
149,12,1
149,8,0
149,23,0
150,2,1
150,27,1
150,24,0
150,14,1
150,21,0
151,16,1
151,8,1
151,17,1
151,5,1
151,6,1
152,16,1
152,42,1
152,5,1
152,6,1
152,28,1
153,10,1
153,1,1
153,2,1
153,12,1
153,32,1
154,18,1
154,16,1
154,29,1
154,33,1
154,22,1
155,4,1
155,8,0
155,23,1
155,5,0
155,9,1
156,1,1
156,2,1
156,16,1
156,29,1
156,22,1
157,11,1
157,12,1
157,22,1
157,14,1
157,37,1
158,2,1
158,4,1
158,6,1
158,9,1
158,39,1
159,18,1
159,36,1
159,40,1
159,11,1
159,31,1
160,10,1
160,15,1
160,18,1
160,36,1
160,31,1
161,27,0
161,23,0
161,17,0
161,21,0
161,28,1
162,1,0
162,2,0
162,23,0
162,13,0
162,6,0
163,10,0
163,2,1
163,8,1
163,17,0
163,5,0
164,36,0
164,3,0
164,12,0
164,30,0
164,28,0
165,2,1
165,16,1
165,29,1
165,8,1
165,17,1
166,2,1
166,3,1
166,29,1
166,6,1
166,39,1
167,2,1
167,4,1
167,17,1
167,5,1
167,31,1
168,18,1
168,1,1
168,12,1
168,8,1
168,30,1
169,1,0
169,2,0
169,4,0
169,5,0
169,25,0
170,11,1
170,29,1
170,12,1
170,6,1
170,14,1
170,37,1
171,10,1
171,2,1
171,7,1
171,25,1
171,39,1
172,1,1
172,20,1
172,31,1
172,35,1
172,43,1
173,10,1
173,2,1
173,8,1
173,5,1
173,14,1
174,2,1
174,7,1
174,4,1
174,5,1
174,31,1
175,10,1
175,2,1
175,4,1
175,29,1
175,5,1
176,8,0
176,23,0
176,24,0
176,14,1
176,28,0
177,15,1
177,16,1
177,34,1
177,28,1
177,19,1
178,2,1
178,16,1
178,4,0
178,17,1
178,5,0
178,25,0
179,15,1
179,11,1
179,29,1
179,14,1
179,39,1
180,10,1
180,1,1
180,2,1
180,12,1
180,44,1
181,2,1
181,3,0
181,16,1
181,4,0
181,29,1
182,15,0
182,1,0
182,13,1
182,33,1
182,37,0
183,15,1
183,2,1
183,3,1
183,17,1
183,9,0
184,2,1
184,3,1
184,29,1
184,31,1
184,35,1
185,1,1
185,2,1
185,26,1
185,13,1
185,6,1
186,11,1
186,23,1
186,6,1
186,35,1
186,19,1
187,2,1
187,7,1
187,6,1
187,31,1
187,35,1
188,16,1
188,4,1
188,29,1
188,12,1
188,25,1
189,1,1
189,2,1
189,8,1
189,6,1
189,21,1
190,15,0
190,12,0
190,35,1
190,39,1
190,19,0
191,10,1
191,3,1
191,8,1
191,6,1
191,14,1
192,1,1
192,12,0
192,22,0
192,35,1
192,28,1
193,2,1
193,3,1
193,8,1
193,22,1
193,25,1
194,16,0
194,4,0
194,6,0
194,19,0
194,45,0
195,11,1
195,12,1
195,22,1
195,14,1
195,21,1
196,1,1
196,11,1
196,23,1
196,5,1
196,6,1
197,12,0
197,33,1
197,32,1
197,35,1
197,37,0
198,4,0
198,29,0
198,12,0
198,8,0
198,6,0
199,3,1
199,7,1
199,8,1
199,33,1
199,19,1
200,7,1
200,6,1
200,30,1
200,25,1
200,41,1
201,15,1
201,16,1
201,12,1
201,13,1
201,28,1
202,15,1
202,18,1
202,11,1
202,22,1
202,30,1
203,1,1
203,2,1
203,20,1
203,5,1
203,25,1
204,18,1
204,2,1
204,20,1
204,8,1
204,35,1
205,16,0
205,4,0
205,23,0
205,6,0
205,45,0
206,26,1
206,17,1
206,5,1
206,9,1
206,19,1
207,3,1
207,16,1
207,12,1
207,8,1
207,6,1
208,15,1
208,2,1
208,23,1
208,6,1
208,28,1
209,10,1
209,16,1
209,29,1
209,31,1
209,25,1
210,18,0
210,2,1
210,12,1
210,23,0
210,13,1
211,4,0
211,12,0
211,8,0
211,24,0
211,9,0
212,3,1
212,29,1
212,5,1
212,22,1
212,6,1
213,2,1
213,13,1
213,6,1
213,25,1
213,28,1
214,1,1
214,12,1
214,5,1
214,25,1
214,21,1
215,1,1
215,2,1
215,4,1
215,24,1
215,34,1
216,2,1
216,16,1
216,7,1
216,5,1
216,24,1
217,16,1
217,4,1
217,26,1
217,5,1
217,39,1
218,15,1
218,11,1
218,6,1
218,31,1
218,21,1
219,1,1
219,2,1
219,4,1
219,26,1
219,13,1
220,20,1
220,13,1
220,5,1
220,6,1
220,35,1
221,10,1
221,16,1
221,5,1
221,6,1
221,25,1
222,2,0
222,4,1
222,14,1
222,9,1
222,39,1
223,26,0
223,20,1
223,8,0
223,17,1
223,6,0
224,10,1
224,2,1
224,20,1
224,6,1
224,31,1
225,10,1
225,15,1
225,18,1
225,31,1
225,44,1
226,15,1
226,18,1
226,11,1
226,13,1
226,22,1
227,18,1
227,12,1
227,13,1
227,22,1
227,6,1
228,36,1
228,11,1
228,7,1
228,38,1
228,19,1
229,15,1
229,26,1
229,23,1
229,31,1
229,9,1
229,34,1
230,16,1
230,26,1
230,13,1
230,22,1
230,28,1
231,1,1
231,16,1
231,4,1
231,13,1
231,6,1
232,10,1
232,2,1
232,16,1
232,12,1
232,30,1
233,16,1
233,13,1
233,22,1
233,6,1
233,43,1
234,20,1
234,8,1
234,23,1
234,17,1
234,24,1
235,10,1
235,22,1
235,6,1
235,31,1
235,35,1
236,1,0
236,2,0
236,5,0
236,6,0
236,28,0
237,18,0
237,1,0
237,2,1
237,5,0
237,30,0
238,15,1
238,2,1
238,20,1
238,12,1
238,33,1
239,2,1
239,4,1
239,8,1
239,17,1
239,28,1
240,2,1
240,3,1
240,7,1
240,29,1
240,6,1
241,10,1
241,16,1
241,8,1
241,6,1
241,35,1
242,2,1
242,17,1
242,6,1
242,14,1
242,28,1
243,18,1
243,11,1
243,7,1
243,6,1
243,44,1
244,2,1
244,17,1
244,5,1
244,6,1
244,28,1
245,10,1
245,2,1
245,4,1
245,29,1
245,5,1
246,10,1
246,1,1
246,8,1
246,17,1
246,28,1
247,2,1
247,16,1
247,23,1
247,5,1
