task,worker,answer
26440,1707,3
26440,311,3
26440,1356,3
26440,1774,3
26440,502,3
26440,1012,3
26440,1065,3
26440,1483,3
26440,1441,3
26440,248,1
26440,570,3
26440,1244,3
26440,767,3
26440,744,3
26440,960,3
26440,87,3
26440,1507,3
26440,925,3
26440,1174,3
26440,849,3
26440,11,3
26440,1170,3
26440,676,3
26440,1144,3
26440,1813,3
26440,1285,3
26440,922,3
26440,1474,3
26440,1392,3
26440,1189,3
26440,604,3
26440,627,3
26440,250,3
26440,1375,3
26440,289,3
26440,1652,3
26440,1645,3
26440,582,3
26440,1858,3
26440,1070,4
26440,1275,3
26440,1860,3
26440,310,3
26440,881,3
26440,470,3
26440,1453,3
26440,1133,3
26440,1890,3
26440,1548,4
26440,32,3
26440,37,3
26440,1378,3
26440,284,3
26440,434,3
26440,467,3
26440,910,3
26440,1845,3
26440,1069,3
26440,1659,3
26440,1363,3
26440,1821,3
26440,1705,3
26440,933,3
26440,1624,3
26440,153,4
26440,1637,3
26440,1280,3
26440,846,3
26440,1923,3
26440,1706,3
26440,1257,3
26440,0,3
26440,1328,3
26440,727,3
26440,1099,3
26440,930,3
26440,1151,1
26440,709,3
26440,271,3
26440,1932,3
26440,1446,1
26440,912,3
26440,1563,3
26440,1949,3
26440,1193,3
26440,1148,3
26440,941,3
26440,1855,3
26440,26,3
26440,1906,3
26440,1262,3
26440,403,3
26440,461,3
26440,815,3
26440,1747,3
26440,711,3
26440,1806,3
26440,1334,3
26440,1374,3
26440,774,3
26440,173,3
26440,969,3
26440,1837,3
26440,1478,3
26440,4,3
26440,955,3
26440,1522,3
26440,1628,3
26440,483,3
26440,209,3
26440,514,3
26440,1868,3
26440,1241,3
26440,1679,3
26440,1850,3
26440,256,3
26440,503,3
26440,1649,3
26440,1379,3
26440,1247,3
26440,115,3
26440,622,3
26440,122,3
26440,1889,1
26441,502,0
26441,147,4
26441,1240,0
26441,250,0
26441,1769,0
26441,1170,0
26441,359,0
26441,900,0
26441,355,0
26441,1441,0
26441,1549,0
26441,403,0
26441,960,0
26441,1102,0
26441,1346,0
26441,1932,0
26441,1012,0
26441,1103,0
26441,329,0
26441,486,0
26441,607,0
26441,0,0
26441,813,0
26441,516,0
26441,17,0
26441,160,4
26441,414,0
26441,1637,0
26441,1826,0
26441,352,0
26441,1057,0
26441,733,0
26441,178,0
26441,288,0
26441,649,0
26441,1659,0
26441,15,3
26441,195,0
26441,644,4
26441,1923,0
26442,1356,1
26442,461,0
26442,18,1
26442,1662,1
26442,109,1
26442,248,1
26442,352,0
26442,915,1
26442,355,1
26442,582,1
26442,1560,1
26442,1102,1
26442,1456,4
26442,708,1
26442,1686,1
26442,1569,1
26442,883,1
26442,1549,1
26442,612,1
26442,931,1
26442,630,4
26442,403,1
26442,1364,1
26442,1392,0
26442,960,3
26442,278,1
26442,809,1
26442,1893,4
26442,1845,1
26442,849,4
26442,904,1
26442,1080,4
26442,1932,1
26442,1170,1
26442,1858,1
26442,1857,1
26442,1012,3
26442,520,1
26442,1822,1
26442,1289,1
26442,1065,1
26442,1685,1
26442,1057,1
26442,1189,1
26442,144,1
26442,1105,1
26442,1806,4
26442,659,1
26442,1262,4
26442,160,1
26442,652,1
26442,1774,1
26442,1885,1
26442,1367,1
26442,0,1
26442,319,1
26442,1280,1
26442,526,1
26442,744,1
26442,419,1
26442,1637,1
26442,1590,1
26442,1577,2
26442,716,4
26442,733,1
26442,1923,1
26442,1058,1
26442,719,1
26442,697,0
26442,1573,1
26442,1448,1
26442,1375,1
26442,161,1
26442,548,1
26442,239,1
26442,1565,1
26442,172,1
26442,503,1
26442,1349,1
26442,1821,1
26442,881,1
26442,164,1
26442,70,1
26442,815,1
26442,1939,1
26442,1803,1
26442,26,1
26442,447,4
26442,37,1
26442,1949,1
26442,31,1
26442,1307,1
26442,1338,1
26442,925,1
26442,211,0
26442,1905,1
26442,613,1
26442,453,1
26442,1673,0
26442,840,0
26442,1144,1
26442,1257,1
26442,1906,1
26442,1090,1
26442,715,1
26442,310,1
26442,1043,0
26442,799,1
26442,610,1
26442,394,1
26442,1764,1
26442,1837,1
26442,911,1
26442,926,1
26442,1679,1
26442,1856,0
26442,17,1
26442,1705,1
26442,1849,1
26442,331,1
26442,515,1
26442,1295,4
26442,813,1
26442,49,1
26443,1813,0
26443,288,0
26443,352,0
26443,1570,0
26443,1012,0
26443,1640,0
26443,105,0
26443,1885,0
26443,612,0
26443,1170,0
26443,1295,0
26443,1399,0
26443,99,0
26443,1565,0
26443,1769,0
26443,248,0
26443,1259,0
26443,884,0
26443,900,0
26443,1560,0
26443,1244,0
26443,1659,0
26443,414,0
26443,1346,0
26443,770,0
26443,960,3
26443,1774,0
26443,486,0
26443,1635,0
26443,333,0
26443,1806,0
26443,75,0
26443,954,0
26443,1526,0
26443,515,0
26443,676,0
26443,196,1
26443,1189,0
26443,922,0
26443,1392,0
26443,355,0
26443,144,0
26443,516,0
26443,1837,0
26443,1102,0
26443,600,0
26443,127,0
26443,1441,0
26443,1932,0
26443,471,0
26443,582,0
26443,1275,0
26443,15,3
26443,727,0
26443,1923,0
26443,1627,0
26443,1764,0
26443,284,0
26443,767,0
26443,1652,0
26443,733,1
26443,929,0
26443,185,0
26443,1058,0
26443,1732,0
26443,725,0
26443,1845,0
26443,1803,0
26443,815,0
26443,849,0
26443,466,0
26443,569,0
26443,1705,0
26443,807,0
26443,461,0
26443,467,0
26443,1872,0
26443,857,0
26443,699,0
26443,426,0
26443,31,0
26443,747,0
26443,26,0
26443,1338,0
26443,258,0
26443,576,0
26443,1918,0
26443,1446,0
26443,548,0
26443,295,0
26443,1906,0
26443,1070,0
26443,1711,0
26443,1099,0
26443,1072,0
26443,447,0
26443,1257,0
26443,1374,0
26443,1386,0
26443,969,0
26443,1282,0
26443,74,0
26443,1673,0
26443,0,0
26443,37,0
26443,774,0
26443,622,0
26443,483,0
26443,889,0
26443,1090,0
26443,805,0
26443,910,0
26443,704,0
26443,911,0
26443,419,0
26443,65,0
26443,926,0
26443,8,0
26443,1604,0
26443,973,0
26443,115,0
26443,1378,0
26443,503,0
26443,1396,0
26444,1392,3
26444,1774,3
26444,1240,3
26444,1662,1
26444,1769,3
26444,1399,3
26444,105,3
26444,582,3
26444,1035,3
26444,248,3
26444,18,3
26444,255,3
26444,674,3
26444,387,3
26444,151,3
26444,612,3
26444,767,3
26444,1102,3
26444,1954,3
26444,960,3
26444,310,3
