task,worker,answer
0,1,0
0,2,0
0,3,0
0,4,0
0,1,0
0,5,0
0,6,0
0,2,0
1,4,0
1,7,0
1,8,0
1,1,0
1,9,0
1,10,0
1,4,0
1,11,0
2,12,0
2,13,0
2,2,0
2,14,0
2,6,0
2,15,0
2,5,0
2,1,0
3,8,0
3,16,0
3,17,0
3,6,0
3,1,0
3,15,0
3,6,0
4,2,0
4,9,0
4,18,0
4,14,0
4,5,0
4,1,0
4,6,0
5,10,0
5,4,0
5,8,0
5,2,0
5,17,0
5,3,0
5,11,0
5,5,0
5,6,0
6,1,0
6,10,0
6,4,0
6,9,0
6,16,0
6,17,0
6,19,0
6,9,0
7,1,0
7,20,0
7,6,0
7,3,0
7,1,0
7,20,0
7,6,0
8,15,0
8,1,0
8,4,0
8,2,0
8,9,0
8,6,0
8,19,0
9,21,0
9,22,0
9,1,0
9,18,0
9,2,0
9,6,0
9,10,0
9,3,0
10,1,0
10,18,0
10,6,0
10,5,0
10,21,0
10,2,0
10,4,0
11,10,0
11,1,0
11,23,0
11,24,0
11,25,0
11,8,0
11,26,0
11,27,0
12,28,0
12,3,0
12,24,0
12,29,0
12,30,0
12,31,0
12,32,0
12,33,0
13,25,0
13,34,0
13,32,0
13,35,0
13,32,0
13,36,0
13,32,0
13,37,0
14,38,0
14,39,0
14,40,0
14,41,0
14,42,0
14,43,0
14,44,0
14,6,0
14,45,0
15,46,0
15,47,0
15,48,0
15,13,0
15,11,0
15,2,0
15,6,0
15,1,0
16,10,0
16,4,0
16,8,0
16,1,0
16,6,0
16,10,0
16,4,0
16,9,0
16,11,0
17,14,0
17,3,0
17,6,0
17,2,0
17,1,0
17,10,0
17,6,0
18,5,0
18,3,0
18,4,0
18,8,0
18,16,0
18,17,0
18,1,0
18,6,0
18,5,0
19,2,0
19,9,0
19,49,0
19,18,0
19,15,0
19,9,0
19,22,0
19,10,0
19,1,0
19,3,0
19,6,0
19,19,0
19,2,0
19,1,0
19,49,0
19,4,0
19,50,0
19,14,0
19,5,0
19,6,0
19,22,0
19,10,0
19,1,0
19,17,0
19,16,0
19,5,0
19,6,0
19,22,0
19,10,0
19,1,0
19,3,0
19,13,0
19,18,0
19,12,0
19,28,0
19,46,0
19,51,0
19,26,0
19,52,0
19,24,0
19,30,0
19,53,0
19,54,0
19,25,0
19,28,0
19,29,0
20,24,0
20,55,0
20,24,0
20,32,0
20,4,0
20,30,0
20,56,0
20,57,0
21,58,0
21,30,0
21,36,0
21,59,0
21,32,0
21,38,0
21,60,0
21,61,0
22,62,0
22,1,0
22,6,0
22,2,0
22,11,0
22,8,0
22,3,0
22,6,0
23,2,0
23,1,0
23,3,0
23,4,0
23,49,0
23,16,0
23,17,0
24,9,0
24,3,0
24,18,0
24,1,0
24,6,0
24,2,0
24,4,0
24,12,0
25,11,0
25,9,0
25,6,0
25,1,0
25,2,0
25,3,0
25,4,0
26,5,0
26,6,0
26,1,0
26,6,0
26,2,0
26,4,0
26,10,0
26,9,0
27,3,0
27,1,0
27,5,0
27,10,0
27,4,0
27,3,0
27,15,0
28,3,0
28,18,0
28,8,0
28,21,0
28,15,0
28,10,0
28,5,0
29,6,0
29,1,0
29,3,0
29,63,0
29,28,0
29,24,0
29,64,0
29,26,0
30,8,0
30,30,0
30,25,0
30,32,0
30,25,0
30,51,0
30,30,0
30,65,0
30,30,0
30,38,0
31,66,0
31,4,0
31,60,0
31,40,0
31,67,0
31,6,0
31,68,0
31,69,0
31,25,0
31,25,0
31,9,0
31,46,0
31,25,0
31,1,0
31,70,0
