task,worker,answer
0,1,4
0,2,0
0,3,2
0,4,2
0,5,3
0,6,4
0,7,2
0,8,3
0,9,3
0,10,4
1,1,0
1,2,0
1,3,2
1,4,1
1,5,1
1,6,4
1,7,2
1,8,1
1,9,2
1,10,0
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
3,1,3
3,2,2
3,3,2
3,4,2
3,5,2
3,6,4
3,7,2
3,8,2
3,9,2
3,10,2
4,1,0
4,2,2
4,3,2
4,4,2
4,5,2
4,6,0
4,7,2
4,8,2
4,9,2
4,10,2
5,1,0
5,2,0
5,3,2
5,4,1
5,5,0
5,6,0
5,7,2
5,8,2
5,9,1
5,10,1
6,1,3
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,1
6,10,2
7,1,1
7,2,0
7,3,2
7,4,2
7,5,2
7,6,2
7,7,2
7,8,2
7,9,3
7,10,3
8,1,3
8,2,2
8,3,2
8,4,2
8,5,1
8,6,0
8,7,2
8,8,2
8,9,1
8,10,2
9,1,1
9,2,0
9,3,2
9,4,0
9,5,4
9,6,1
9,7,2
9,8,2
9,9,1
9,10,1
10,1,0
10,2,0
10,3,2
10,4,0
10,5,2
10,6,1
10,7,2
10,8,0
10,9,1
10,10,1
11,1,4
11,2,4
11,3,2
11,4,2
11,5,3
11,6,4
11,7,2
11,8,2
11,9,2
11,10,3
12,1,3
12,2,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,1
12,10,2
13,1,3
13,2,2
13,3,2
13,4,2
13,5,3
13,6,2
13,7,2
13,8,2
13,9,1
13,10,2
14,1,0
14,2,0
14,3,2
14,4,1
14,5,0
14,6,2
14,7,2
14,8,2
14,9,2
14,10,3
15,1,3
15,2,2
15,3,2
15,4,2
15,5,2
15,6,4
15,7,2
15,8,2
15,9,1
15,10,2
16,1,4
16,2,4
16,3,2
16,4,2
16,5,3
16,6,4
16,7,2
16,8,3
16,9,3
16,10,3
17,1,4
17,2,2
17,3,2
17,4,4
17,5,2
17,6,2
17,7,2
17,8,3
17,9,3
17,10,4
18,1,0
18,2,0
18,3,2
18,4,0
18,5,0
18,6,1
18,7,3
18,8,0
18,9,1
18,10,4
19,1,4
19,2,2
19,3,2
19,4,2
19,5,2
19,6,2
19,7,2
19,8,3
19,9,2
19,10,4
20,2,2
20,11,2
20,12,2
20,13,2
20,14,2
20,15,2
20,16,2
20,17,2
20,18,2
20,4,2
21,2,2
21,11,0
21,12,3
21,13,1
21,14,2
21,15,1
21,16,1
21,17,3
21,18,0
21,4,4
22,2,2
22,11,1
22,12,1
22,13,1
