task,worker,answer
0,1,0
0,2,0
0,3,0
0,4,1
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,2
0,13,0
0,14,0
0,15,0
0,16,1
0,17,2
0,18,0
0,19,1
0,20,2
1,8,3
1,14,3
1,21,3
1,3,2
1,11,3
1,22,3
1,23,3
1,24,3
1,25,2
1,4,3
1,19,2
1,17,2
1,26,2
1,27,3
1,10,3
1,28,2
1,29,2
1,30,2
1,6,4
1,12,2
2,31,1
2,32,0
2,27,0
2,11,0
2,33,0
2,18,0
2,28,1
2,34,4
2,1,0
2,35,1
2,36,4
2,37,0
2,38,0
2,26,0
2,10,0
2,39,0
2,2,0
2,40,0
2,8,4
2,12,2
3,22,2
3,41,2
3,34,2
3,12,2
3,42,2
3,14,2
3,43,2
3,4,2
3,36,2
3,25,2
3,1,2
3,32,2
3,18,2
3,2,2
3,44,2
3,5,2
3,45,2
3,27,2
3,46,2
3,47,2
4,2,2
4,48,2
4,45,2
4,38,2
4,11,2
4,49,2
4,50,2
4,51,2
4,9,2
4,43,2
4,32,2
4,52,2
4,53,2
4,16,2
4,1,2
4,15,2
4,54,2
4,4,1
4,14,2
4,37,2
5,19,2
5,55,2
5,22,2
5,10,2
5,2,2
5,5,2
5,26,2
5,56,2
5,57,2
5,9,2
5,7,2
5,37,2
5,58,2
5,32,2
5,17,2
5,14,2
5,36,2
5,44,2
5,59,2
5,11,2
6,1,3
6,16,2
6,32,3
6,11,4
6,44,3
6,60,4
6,27,3
6,7,3
6,2,2
6,61,2
6,41,2
6,26,3
6,3,2
6,22,3
6,14,3
6,31,2
6,17,2
6,62,2
6,5,3
6,48,3
7,14,3
7,32,3
7,58,3
7,63,3
7,10,3
7,1,3
7,22,3
7,2,3
7,43,3
7,9,3
7,36,3
7,18,3
7,50,3
7,6,3
7,64,3
7,16,1
7,59,3
7,34,3
7,65,3
7,62,3
8,66,3
8,10,3
8,3,3
8,32,3
8,67,1
8,16,1
8,45,3
8,37,3
8,59,0
8,22,3
8,68,3
8,2,1
8,29,1
8,14,3
8,19,1
8,36,3
8,6,3
8,69,3
8,41,1
8,53,4
9,42,3
9,2,1
9,3,3
9,22,1
9,9,1
9,17,2
9,44,3
9,1,1
9,35,1
9,70,1
9,11,3
9,32,3
9,39,3
9,45,3
9,41,1
9,43,3
9,57,3
9,14,1
9,29,1
9,12,2
10,34,1
10,58,2
10,3,2
10,1,1
10,20,2
10,61,1
10,10,3
10,71,3
10,2,2
10,21,1
10,27,2
10,14,1
10,42,1
10,12,2
10,57,2
10,47,1
10,68,2
10,19,1
10,59,1
10,44,3
11,72,1
11,36,3
11,71,3
11,43,3
11,44,2
11,59,3
11,3,2
11,42,3
11,39,4
11,41,3
11,32,1
11,9,2
11,73,2
11,19,0
11,10,3
11,16,2
11,56,2
11,14,1
11,34,3
11,22,3
12,50,3
12,8,3
12,22,3
12,33,3
12,1,3
12,47,3
12,49,3
12,45,3
12,44,3
12,9,3
12,11,3
12,14,3
12,10,3
12,32,3
12,64,3
12,68,3
12,39,3
12,26,3
12,36,3
12,48,3
13,18,1
13,36,4
13,5,4
13,19,0
13,32,2
13,64,4
13,7,1
13,27,0
13,8,1
13,58,1
13,59,1
13,28,1
13,37,0
13,2,4
13,22,4
13,31,0
13,10,0
13,13,0
13,11,0
13,41,1
14,48,1
14,27,1
14,1,1
14,39,1
14,12,2
14,11,4
14,13,1
14,8,0
14,74,1
14,70,1
14,3,1
14,36,1
14,32,1
14,75,0
14,43,1
14,16,1
14,76,1
